=== Log Start ===
2024/10/19 23:57:52: [Warning] DontDestroyOnLoad only works for root GameObjects or components on root GameObjects.
2024/10/19 23:57:52: [Log] _signalPool: SignalPool (SignalPool)
2024/10/19 23:57:52: [Log] _uiManager: UI Manager (UIManager)
2024/10/19 23:57:52: [Log] Changing state from  to SceneSetupSstate
2024/10/19 23:57:52: [Log] 新しいシーンを読み込み中。。。。
2024/10/19 23:57:54: [Log] <color=yellow>Current State: SceneSetupSstate</color>
2024/10/19 23:57:54: [Log] <color=yellow>Current State: SceneSetupSstate</color>
2024/10/19 23:57:54: [Log] <color=yellow>Current State: SceneSetupSstate</color>
2024/10/19 23:57:54: [Log] <color=yellow>Current State: SceneSetupSstate</color>
2024/10/19 23:57:54: [Log] <color=yellow>Current State: SceneSetupSstate</color>
2024/10/19 23:57:54: [Log] <color=yellow>Current State: SceneSetupSstate</color>
2024/10/19 23:57:54: [Log] <color=yellow>Current State: SceneSetupSstate</color>
2024/10/19 23:57:54: [Log] <color=yellow>Current State: SceneSetupSstate</color>
2024/10/19 23:57:54: [Log] <color=yellow>Current State: SceneSetupSstate</color>
2024/10/19 23:57:54: [Log] <color=yellow>Current State: SceneSetupSstate</color>
2024/10/19 23:57:54: [Log] <color=yellow>Current State: SceneSetupSstate</color>
2024/10/19 23:57:54: [Log] <color=yellow>Current State: SceneSetupSstate</color>
2024/10/19 23:57:54: [Log] <color=yellow>Current State: SceneSetupSstate</color>
2024/10/19 23:57:54: [Log] <color=yellow>Current State: SceneSetupSstate</color>
2024/10/19 23:57:54: [Log] <color=yellow>Current State: SceneSetupSstate</color>
2024/10/19 23:57:54: [Log] <color=yellow>Current State: SceneSetupSstate</color>
2024/10/19 23:57:54: [Log] <color=yellow>Current State: SceneSetupSstate</color>
2024/10/19 23:57:54: [Log] <color=yellow>Current State: SceneSetupSstate</color>
2024/10/19 23:57:54: [Log] <color=yellow>Current State: SceneSetupSstate</color>
2024/10/19 23:57:54: [Log] <color=yellow>Current State: SceneSetupSstate</color>
2024/10/19 23:57:54: [Log] <color=yellow>Current State: SceneSetupSstate</color>
2024/10/19 23:57:54: [Log] <color=yellow>Current State: SceneSetupSstate</color>
2024/10/19 23:57:54: [Log] <color=yellow>Current State: SceneSetupSstate</color>
2024/10/19 23:57:54: [Log] <color=yellow>Current State: SceneSetupSstate</color>
2024/10/19 23:57:54: [Log] <color=yellow>Current State: SceneSetupSstate</color>
2024/10/19 23:57:54: [Log] <color=yellow>Current State: SceneSetupSstate</color>
2024/10/19 23:57:54: [Log] <color=yellow>Current State: SceneSetupSstate</color>
2024/10/19 23:57:54: [Log] <color=yellow>Current State: SceneSetupSstate</color>
2024/10/19 23:57:54: [Log] <color=yellow>Current State: SceneSetupSstate</color>
2024/10/19 23:57:54: [Log] <color=yellow>Current State: SceneSetupSstate</color>
2024/10/19 23:57:54: [Log] <color=yellow>Current State: SceneSetupSstate</color>
2024/10/19 23:57:54: [Log] <color=yellow>Current State: SceneSetupSstate</color>
2024/10/19 23:57:54: [Log] <color=yellow>Current State: SceneSetupSstate</color>
2024/10/19 23:57:54: [Log] <color=yellow>Current State: SceneSetupSstate</color>
2024/10/19 23:57:54: [Log] <color=yellow>Current State: SceneSetupSstate</color>
2024/10/19 23:57:54: [Log] <color=yellow>Current State: SceneSetupSstate</color>
2024/10/19 23:57:54: [Log] <color=yellow>Current State: SceneSetupSstate</color>
2024/10/19 23:57:54: [Log] <color=yellow>Current State: SceneSetupSstate</color>
2024/10/19 23:57:54: [Log] <color=yellow>Current State: SceneSetupSstate</color>
2024/10/19 23:57:54: [Log] <color=yellow>Current State: SceneSetupSstate</color>
2024/10/19 23:57:54: [Log] <color=yellow>Current State: SceneSetupSstate</color>
2024/10/19 23:57:54: [Log] <color=yellow>Current State: SceneSetupSstate</color>
2024/10/19 23:57:54: [Log] <color=yellow>Current State: SceneSetupSstate</color>
2024/10/19 23:57:54: [Log] <color=yellow>Current State: SceneSetupSstate</color>
2024/10/19 23:57:54: [Log] <color=yellow>Current State: SceneSetupSstate</color>
2024/10/19 23:57:54: [Log] <color=yellow>Current State: SceneSetupSstate</color>
2024/10/19 23:57:54: [Log] <color=yellow>Current State: SceneSetupSstate</color>
2024/10/19 23:57:54: [Log] <color=yellow>Current State: SceneSetupSstate</color>
2024/10/19 23:57:54: [Log] <color=yellow>Current State: SceneSetupSstate</color>
2024/10/19 23:57:54: [Log] <color=yellow>Current State: SceneSetupSstate</color>
2024/10/19 23:57:54: [Log] <color=yellow>Current State: SceneSetupSstate</color>
2024/10/19 23:57:54: [Log] <color=yellow>Current State: SceneSetupSstate</color>
2024/10/19 23:57:54: [Log] <color=yellow>Current State: SceneSetupSstate</color>
2024/10/19 23:57:54: [Log] <color=yellow>Current State: SceneSetupSstate</color>
2024/10/19 23:57:54: [Log] <color=yellow>Current State: SceneSetupSstate</color>
2024/10/19 23:57:54: [Log] <color=yellow>Current State: SceneSetupSstate</color>
2024/10/19 23:57:54: [Log] <color=yellow>Current State: SceneSetupSstate</color>
2024/10/19 23:57:54: [Log] <color=yellow>Current State: SceneSetupSstate</color>
2024/10/19 23:57:54: [Log] <color=yellow>Current State: SceneSetupSstate</color>
2024/10/19 23:57:54: [Log] <color=yellow>Current State: SceneSetupSstate</color>
2024/10/19 23:57:54: [Log] <color=yellow>Current State: SceneSetupSstate</color>
2024/10/19 23:57:54: [Log] <color=yellow>Current State: SceneSetupSstate</color>
2024/10/19 23:57:54: [Log] <color=yellow>Current State: SceneSetupSstate</color>
2024/10/19 23:57:54: [Log] <color=yellow>Current State: SceneSetupSstate</color>
2024/10/19 23:57:54: [Log] <color=yellow>Current State: SceneSetupSstate</color>
2024/10/19 23:57:54: [Log] <color=yellow>Current State: SceneSetupSstate</color>
2024/10/19 23:57:54: [Log] <color=yellow>Current State: SceneSetupSstate</color>
2024/10/19 23:57:54: [Log] <color=yellow>Current State: SceneSetupSstate</color>
2024/10/19 23:57:54: [Log] <color=yellow>Current State: SceneSetupSstate</color>
2024/10/19 23:57:54: [Log] <color=yellow>Current State: SceneSetupSstate</color>
2024/10/19 23:57:54: [Log] <color=yellow>Current State: SceneSetupSstate</color>
2024/10/19 23:57:54: [Log] <color=yellow>Current State: SceneSetupSstate</color>
2024/10/19 23:57:54: [Log] <color=yellow>Current State: SceneSetupSstate</color>
2024/10/19 23:57:54: [Log] <color=yellow>Current State: SceneSetupSstate</color>
2024/10/19 23:57:54: [Log] <color=yellow>Current State: SceneSetupSstate</color>
2024/10/19 23:57:54: [Log] <color=yellow>Current State: SceneSetupSstate</color>
2024/10/19 23:57:54: [Log] <color=yellow>Current State: SceneSetupSstate</color>
2024/10/19 23:57:54: [Log] <color=yellow>Current State: SceneSetupSstate</color>
2024/10/19 23:57:54: [Log] <color=yellow>Current State: SceneSetupSstate</color>
2024/10/19 23:57:54: [Log] <color=yellow>Current State: SceneSetupSstate</color>
2024/10/19 23:57:54: [Log] <color=yellow>Current State: SceneSetupSstate</color>
2024/10/19 23:57:54: [Log] <color=yellow>Current State: SceneSetupSstate</color>
2024/10/19 23:57:54: [Log] <color=yellow>Current State: SceneSetupSstate</color>
2024/10/19 23:57:54: [Log] <color=yellow>Current State: SceneSetupSstate</color>
2024/10/19 23:57:54: [Log] <color=yellow>Current State: SceneSetupSstate</color>
2024/10/19 23:57:54: [Log] <color=yellow>Current State: SceneSetupSstate</color>
2024/10/19 23:57:54: [Log] <color=yellow>Current State: SceneSetupSstate</color>
2024/10/19 23:57:54: [Log] <color=yellow>Current State: SceneSetupSstate</color>
2024/10/19 23:57:54: [Log] <color=yellow>Current State: SceneSetupSstate</color>
2024/10/19 23:57:54: [Log] <color=yellow>Current State: SceneSetupSstate</color>
2024/10/19 23:57:54: [Log] <color=yellow>Current State: SceneSetupSstate</color>
2024/10/19 23:57:54: [Log] <color=yellow>Current State: SceneSetupSstate</color>
2024/10/19 23:57:54: [Log] <color=yellow>Current State: SceneSetupSstate</color>
2024/10/19 23:57:54: [Log] <color=yellow>Current State: SceneSetupSstate</color>
2024/10/19 23:57:54: [Log] <color=yellow>Current State: SceneSetupSstate</color>
2024/10/19 23:57:54: [Log] <color=yellow>Current State: SceneSetupSstate</color>
2024/10/19 23:57:54: [Log] <color=yellow>Current State: SceneSetupSstate</color>
2024/10/19 23:57:54: [Log] <color=yellow>Current State: SceneSetupSstate</color>
2024/10/19 23:57:54: [Log] <color=yellow>Current State: SceneSetupSstate</color>
2024/10/19 23:57:54: [Log] <color=yellow>Current State: SceneSetupSstate</color>
2024/10/19 23:57:54: [Log] <color=yellow>Current State: SceneSetupSstate</color>
2024/10/19 23:57:54: [Log] <color=yellow>Current State: SceneSetupSstate</color>
2024/10/19 23:57:54: [Log] <color=yellow>Current State: SceneSetupSstate</color>
2024/10/19 23:57:54: [Log] <color=yellow>Current State: SceneSetupSstate</color>
2024/10/19 23:57:54: [Log] <color=yellow>Current State: SceneSetupSstate</color>
2024/10/19 23:57:54: [Log] <color=yellow>Current State: SceneSetupSstate</color>
2024/10/19 23:57:54: [Log] <color=yellow>Current State: SceneSetupSstate</color>
2024/10/19 23:57:54: [Log] <color=yellow>Current State: SceneSetupSstate</color>
2024/10/19 23:57:54: [Log] <color=yellow>Current State: SceneSetupSstate</color>
2024/10/19 23:57:54: [Log] <color=yellow>Current State: SceneSetupSstate</color>
2024/10/19 23:57:54: [Log] <color=yellow>Current State: SceneSetupSstate</color>
2024/10/19 23:57:54: [Log] <color=yellow>Current State: SceneSetupSstate</color>
2024/10/19 23:57:54: [Log] <color=yellow>Current State: SceneSetupSstate</color>
2024/10/19 23:57:54: [Log] <color=yellow>Current State: SceneSetupSstate</color>
2024/10/19 23:57:54: [Log] <color=yellow>Current State: SceneSetupSstate</color>
2024/10/19 23:57:54: [Log] <color=yellow>Current State: SceneSetupSstate</color>
2024/10/19 23:57:54: [Log] <color=yellow>Current State: SceneSetupSstate</color>
2024/10/19 23:57:54: [Log] <color=yellow>Current State: SceneSetupSstate</color>
2024/10/19 23:57:54: [Log] <color=yellow>Current State: SceneSetupSstate</color>
