=== Log Start ===
2024/10/20 05:20:59: [Log] _signalPool: SignalPool (SignalPool)
2024/10/20 05:20:59: [Log] _uiManager: UI Manager (UIManager)
2024/10/20 05:20:59: [Log] Changing state from SceneSetupSstate to SceneSetupSstate
2024/10/20 05:20:59: [Log] イベントをポップしています: StateChanged
2024/10/20 05:20:59: [Log] SceneSetupSstateを離脱します
2024/10/20 05:20:59: [Log] 新しいシーンを読み込み中。。。。
2024/10/20 05:21:01: [Log] <color=yellow>Current State: SceneSetupSstate</color>
2024/10/20 05:21:01: [Log] <color=yellow>Current State: SceneSetupSstate</color>
2024/10/20 05:21:01: [Log] <color=yellow>Current State: SceneSetupSstate</color>
2024/10/20 05:21:01: [Log] <color=yellow>Current State: SceneSetupSstate</color>
2024/10/20 05:21:01: [Log] <color=yellow>Current State: SceneSetupSstate</color>
2024/10/20 05:21:01: [Log] <color=yellow>Current State: SceneSetupSstate</color>
2024/10/20 05:21:01: [Log] <color=yellow>Current State: SceneSetupSstate</color>
2024/10/20 05:21:01: [Log] <color=yellow>Current State: SceneSetupSstate</color>
2024/10/20 05:21:01: [Log] <color=yellow>Current State: SceneSetupSstate</color>
2024/10/20 05:21:01: [Log] <color=yellow>Current State: SceneSetupSstate</color>
2024/10/20 05:21:01: [Log] <color=yellow>Current State: SceneSetupSstate</color>
2024/10/20 05:21:01: [Log] <color=yellow>Current State: SceneSetupSstate</color>
2024/10/20 05:21:01: [Log] <color=yellow>Current State: SceneSetupSstate</color>
2024/10/20 05:21:01: [Log] <color=yellow>Current State: SceneSetupSstate</color>
2024/10/20 05:21:01: [Log] <color=yellow>Current State: SceneSetupSstate</color>
2024/10/20 05:21:01: [Log] <color=yellow>Current State: SceneSetupSstate</color>
2024/10/20 05:21:01: [Log] <color=yellow>Current State: SceneSetupSstate</color>
2024/10/20 05:21:01: [Log] <color=yellow>Current State: SceneSetupSstate</color>
2024/10/20 05:21:01: [Log] <color=yellow>Current State: SceneSetupSstate</color>
2024/10/20 05:21:01: [Log] <color=yellow>Current State: SceneSetupSstate</color>
2024/10/20 05:21:01: [Log] <color=yellow>Current State: SceneSetupSstate</color>
2024/10/20 05:21:01: [Log] <color=yellow>Current State: SceneSetupSstate</color>
2024/10/20 05:21:01: [Log] <color=yellow>Current State: SceneSetupSstate</color>
2024/10/20 05:21:01: [Log] <color=yellow>Current State: SceneSetupSstate</color>
2024/10/20 05:21:01: [Log] <color=yellow>Current State: SceneSetupSstate</color>
2024/10/20 05:21:01: [Log] <color=yellow>Current State: SceneSetupSstate</color>
2024/10/20 05:21:01: [Log] <color=yellow>Current State: SceneSetupSstate</color>
